OverallQual,GrLivArea,GarageCars,avg_price
3,968,0,37900.0
10,2392,3,386250.0
8,2898,2,287000.0
8,2452,3,309000.0
7,2036,2,375000.0
9,1980,3,315000.0
7,2260,2,328000.0
10,2076,3,465000.0
4,845,1,84000.0
4,1131,2,89471.0
5,691,1,86000.0
5,1015,1,88000.0
3,720,1,72500.0
4,1529,1,98000.0
8,2610,2,303477.0
4,1296,2,90000.0
3,1699,2,95000.0
9,1752,2,319900.0
5,789,1,105750.0
8,1710,3,372402.0
8,2161,3,325624.0
9,2643,3,380000.0
10,2402,3,555000.0
9,2504,3,325000.0
10,2296,3,451950.0
8,2612,3,336000.0
5,835,1,83000.0
8,1826,3,319000.0
6,1406,0,89500.0
5,1112,1,85000.0
8,2715,2,299800.0
4,796,0,55000.0
7,1726,3,311872.0
4,1123,1,100000.0
5,886,1,91300.0
5,968,2,100000.0
8,3228,2,430000.0
8,2448,3,402000.0
8,1630,3,295493.0
9,2018,3,378500.0
8,1704,3,306000.0
9,1620,3,315500.0
5,840,0,87000.0
4,869,0,85500.0
5,1248,1,87000.0
7,3222,3,320000.0
4,1317,1,40000.0
3,864,1,58500.0
8,2270,3,290000.0
9,1652,2,325000.0
7,2520,3,290000.0
9,2121,3,415298.0
7,3493,3,295000.0
5,1192,1,78000.0
5,1221,1,104900.0
10,2633,3,466500.0
8,2520,3,310000.0
9,1698,3,320000.0
6,1096,0,79000.0
4,630,1,83000.0
2,480,1,35311.0
4,630,0,80333.33333333333
8,2097,3,423000.0
8,3194,2,359100.0
4,1344,0,97000.0
9,1850,3,326000.0
5,892,1,105000.0
7,2167,2,294000.0
4,1047,1,100000.0
8,2468,3,354000.0
5,1006,0,80000.0
5,796,0,85000.0
8,1652,2,321750.0
9,1766,3,370878.0
8,2622,2,325000.0
8,2473,3,317000.0
4,924,1,80000.0
4,816,1,100000.0
8,3238,3,410000.0
3,894,3,81000.0
5,1124,0,93000.0
4,988,1,91000.0
5,864,0,98950.0
6,1198,0,79900.0
9,1792,3,374000.0
